1782647415556,58
1782647416057,866
1782647416557,1901
1782647417057,2949
1782647417558,4317
1782647418058,5531
1782647418559,6733
1782647419060,6974
1782647419560,7691
1782647420060,9377
1782647420561,11073
1782647421061,12606
1782647421561,14326
1782647422062,16253
1782647422563,18260
1782647423063,20228
1782647423564,22172
1782647424064,24171
1782647424564,26215
1782647425065,28141
1782647425565,29834
1782647426065,31726
1782647426565,33664
1782647427066,35651
1782647427566,37693
1782647428067,39787
1782647428568,41891
1782647429069,43912
1782647429570,46126
1782647430071,48488
1782647430572,51124
1782647431073,53387
1782647431575,55542
1782647432076,57672
1782647432577,59948
1782647433078,62097
1782647433579,64023
1782647434080,66030
1782647434581,68138
1782647435084,70187
1782647435584,72209
1782647436085,73849
1782647436586,75698
1782647437086,77683
1782647437586,79784
1782647438086,81557
1782647438587,83703
1782647439087,85768
1782647439587,87723
1782647440087,89788
1782647440588,92045
1782647441088,94033
1782647441588,96020
1782647442088,98166
1782647442588,100396
1782647443089,102381
1782647443589,104520
1782647444090,106585
1782647444591,108430
1782647445091,110301
1782647445592,112153
1782647446093,114163
1782647446593,116276
1782647447094,118216
1782647447594,120327
1782647448095,122330
1782647448596,124522
1782647449097,126410
1782647449597,128438
1782647450098,130277
1782647450599,132373
1782647451099,134301
1782647451599,135891
1782647452099,138039
1782647452599,140091
1782647453099,142236
1782647453600,144363
1782647454100,146494
1782647454600,148535
1782647455100,150287
1782647455600,152157
1782647456101,154270
1782647456602,156467
1782647457103,158540
1782647457604,160669
1782647458106,162725
1782647458607,164814
1782647459108,166956
1782647459608,169174
1782647460108,171330
1782647460609,172832
1782647461110,174300
1782647461611,176012
1782647462112,178270
1782647462612,180600
1782647463113,182709
1782647463613,184299
1782647464113,186376
1782647464614,188451
1782647465115,190243
1782647465615,192228
1782647466115,194327
1782647466615,196430
1782647467114,198544
1782647467615,200710
1782647468116,202429
1782647468617,204655
1782647469117,206732
1782647469618,208852
1782647470117,211034
1782647470617,213174
1782647471118,215250
1782647471618,217390
1782647472119,219521
1782647472619,221799
1782647473119,223763
1782647473619,225835
1782647474119,227997
1782647474620,230051
1782647475121,231931
1782647475622,234260
1782647476123,234260
1782647476624,234260
1782647477125,234260
1782647477626,234260
1782647478128,234260
1782647478630,234260
1782647479131,234260
1782647479632,234260
1782647480133,234260
1782647480634,234260
1782647481133,234260
1782647481634,234260
1782647482135,234260
1782647482636,234260
1782647483137,234260
